[2023-07-21 20:53:29,240]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 20:53:29,251]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 20:53:29,251]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 20:53:29,261]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 20:53:29,262]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 20:53:29,939]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 20:53:29,939]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 20:53:33,468]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 20:53:33,468]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 20:53:33,477]^;INFO^;81^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 20:53:37,617]^;INFO^;83^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 20:53:37,617]^;INFO^;84^;__init__.py^;__init__()^;creating input csv started
